reviewer_name,user_country,room_type,stay_duration_days,rating,review_text,review_date
Evelin,Germany,Standard Room,3,10.0,Die Besitzer des CSS sind unglaublich zuvorkommend und hilfsbereit! Der Container war 100% sauber und gemütlich. Die Dusche hat auch warmes Wasser. Der Ausblick ist sehr schön und die Lage angenehm ruhig. Gerne wieder!,"January 14, 2023"
Jana,Indonesia,Superior Room,2,7.2,Durch die Bergluft ist alles ein bisschen feucht und muffig. Es wir nachts durch die dünnen wände sehr kalt. Das Personal ist super nett und für ein zwei Nächte ist es eine gute Unterkunft,"July 25, 2023"
Gottlieb,Indonesia,Standard Room,1,8.8,Waren zur Durchreise für eine Nacht dort. Für 2-3 Nächte mit leichtem Gepäck  ganz gut ! Super Personal!Wasserfälle und Tempel in der Nähe 😙,"September 06, 2022"
Giri,Indonesia,Superior Room,1,8.4,"Sungguh menyenangkan menginap di CSS , tempatnya inovatif dan pemandangan sekitar yang indah.
Tak lupa staffnya jg ramah","August 27, 2024"
Ni,Indonesia,Superior Room,1,10.0,Tempat bersih..staf ramah..akses jalan baik...cuma didalam kamar..kalau panas panas banget..pas dingin dingin banget.hehe..sempat closed eror,"January 20, 2023"
merry,Indonesia,Standard Room,1,8.0,Agak unik kamar container dg udara dingin di sekitar tanpa ac...kamar bersih.. lokasi Strategis... Harga affordable,"April 19, 2024"
Eko,Indonesia,Superior Room,1,6.4,"Ada pengunjung yang membatalkan karena kondisi nya masih harus berbenah
1. Tidak ada nya AC, sehingga kalau siang hari kamarnya hangat, kalau malam dingin sekali antara 15 - 16 derajat
2. Dinding container tidak ada penyekat dinding tambahan, sehingga suara atau suhu luar langsung masuk kedalam dan jika malam hari sangat dingin sekali, apa lagi jika tangan langsung menyentuh dinding besi container yang menempel dengan tempat tidur.
3. Kamar mandi kurang rapi, karena tidak ada keramik, baik lantai maupun dindingnya,","December 21, 2022"
Dita,Indonesia,Superior Room,1,10.0,"Indah, nyaman, stafnya ramah","January 21, 2025"
Ekalaya,Indonesia,Standard Room,1,5.2,"Pas datang akses jalan menuju hotel tertutup lumpur longsor pada jarak kurang lebih 150m, minta tolong sama yang punya hotel tidak ada solusi sampai kami jalan kaki melewati lumpur, setelah sampai penginapan dibantu ambil barang ke mobil yang terparkir jauh karena tidak bisa melewati lumpur, kebetulan ibu saya ikut jadi jumlah orang dewasa 5 orang, kami pesan 2 kamar diminta tambahan 150ribu, tidak dikasih kasur tambahan, uang tambahan 150 nya buat apa coba? Kalau tidurnya disatu ranjang juga, sangat kecewa sih","March 24, 2026"
Hendrik,Indonesia,Standard Room,1,8.8,2 staffnya sangat sigap melayani. Lokasi cocok untuk staycation jauh dari hingar-bingar kota.,"December 04, 2024"
Mi,Indonesia,Superior Room,1,10.0,"Puas nginap di sini, ownernya sangat ramah skali","January 27, 2023"
Lisdiana,Indonesia,Standard Room,1,5.2,"Unik dan punya potensi bagus, tapi utk saat ini masih jauh dari sempurna. Sy pindah kamar 2x, yg pertama gara2 saluran TV error, yg kedua gara2 kasur basah karena jendela tidak ditutup. Berakhir di kmar lain dgn kondisi lantai kayu di kamar mandi berjamur. Pengelola nya sangat ramah, tapi maaf utk kualitas hotelnya tidak sebanding dgn rate yg diberikan.","December 26, 2022"
Lina,Indonesia,Standard Room,1,8.8,So far so good 🙂👍,"July 05, 2023"
Susanna,Indonesia,Standard Room,1,8.4,"Bersih,dingin enak","April 23, 2023"
Untari,Indonesia,Standard Room,1,10.0,Tempat nya smart banget emang,"January 21, 2023"
Indrayani,Indonesia,Standard Room,1,10.0,Nice Hotel,"September 24, 2025"
bagus,Indonesia,Superior Room,1,10.0,Best pokoknya,"December 25, 2023"
Kadek,Indonesia,Standard Room,1,2.0,Staff nya Ramah dan Pelayanan nya Baik 😊,"August 22, 2022"
radit,Indonesia,Standard Room,1,10.0,Sangat baik,"August 21, 2022"
Indri,Indonesia,Standard Room,1,10.0,Mesti bungkus dulu sebelum ke situ..gitu lainnya okelah,"August 01, 2022"
Kadek,Indonesia,Standard Room,1,9.2,"Pancasari adalah tempat yg slalu saya kunjungi dg pasangan,,saya memilih menginap dsni di smart stay continer  karena tempatnya yg modern,nyaman dan bersih dan pastinya beda dr yg lain.","July 26, 2022"
Nurul,Indonesia,Standard Room,1,10.0,Menginap disini bikin liburan tambah berkesan,"July 17, 2022"
Veronika,Indonesia,Superior Room,1,9.6,"Необычный формат жилья. Комнаты чистые, маленькие, но уютные. Внутри чистенько. Отопления и кондиционеров нет, но есть горячий душ с хорошим напором. Бесплатные горячие напитки, настольные игры, красивый вид и горный воздух.","February 05, 2023"
Emily,Netherlands,Standard Room,1,9.2,"The staff was very nice, the room was very original and clean. Beds were very confortable. Thank you!","August 24, 2023"
kartika,Indonesia,Standard Room,1,10.0,"Tempatnya keren, bersih, nyaman, staff ramah.. pokoknya pas bgt utk liburan keluarga 😍","November 04, 2022"
nurmansyah,Indonesia,Standard Room,2,10.0,Cozy place near the lake on the mountain,"June 15, 2023"
