reviewer_name,user_country,room_type,stay_duration_days,rating,review_text,review_date
Lucie,Inggris,Deluxe One Bedroom Private Pool Villa,Menginap 1 malam pada Mei 2024,"6,4","Kamar pertama yang kami inap cukup buruk, tidak seindah yang terlihat di foto. Kursi berjemur di kolam renang hilang, ada lubang di dek, paku tajam dan papan yang longgar membuatnya menjadi bahaya tersandung. Kolam renang kotor, staf sempat bertanya apakah kami ingin membersihkannya saat kami tiba - tetapi itu tidak terjadi sampai keesokan harinya. Kamar mandi di pagi hari memiliki bau saluran yang tidak sedap, cukup untuk membangunkan kami. AC-nya bagus dan tempat tidurnya sangat nyaman.

Kami memperpanjang masa inap kami satu hari karena saya melukai lutut saya, kamar kedua sangat indah dan baru! Dan terlihat persis seperti foto pemesanan kami yang asli. Kamar kedua terletak di sisi lain jalan di mana ada kolam untuk semua tamu (entah kenapa kami tidak pernah diberitahu bahwa gedung lain itu ada saat kami tiba).

Villa ini sekitar 40 menit dari pusat kota, karena lalu lintas (bukan hanya di jalan seperti yang diusulkan ulasan lain). Bersiaplah untuk terjebak dalam banyak lalu lintas jika Anda berencana melakukan perjalanan, pergi ke kota, dll.

Ada spa, dan restoran - kami harus meminta menu. Saya rasa proses check-in dapat ditingkatkan untuk menjelaskan lebih detail tentang fasilitas hotel, memberikan tur kepada tamu, dll. Staf malah tampak cukup memaksa untuk menjual tur/ekskursi, semua yang sudah kami pesan secara online jadi tidak perlu - dan mereka tampak kecewa dengan itu dan terus bertanya tentang rencana kami, siapa yang kami pesan, kemana kami akan pergi, dll.",N/A
Novelia,Indonesia,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 1 malam pada Agustus 2023,"9,6","Saya sangat suka villa ini, terletak di area yang tenang. Dan sangat bersih. Saya menginap 2 malam di sini, dengan 2 kamar yang berbeda. Satu malam di 2 kamar dan malam lainnya di 3 kamar. Saat di 2 kamar, ada banyak semut di tempat tidur. Itu membuat saya sedikit khawatir. Tapi masih oke. Dan staf membantu kami memindahkan barang bawaan kami saat kami sedang berpergian.

Kamar mandinya sangat besar. Terutama di kamar utama, dilengkapi dengan sabun mandi, sampo, dan conditioner yang bagus. Mandi dengan air panas membuat saya merasa seperti sedang dipijat di punggung saya, saya sangat menyukainya.

Tempat tidurnya besar dan nyaman. Ruang tamunya juga bagus dengan wifi yang baik dan Netflix.",N/A
Nishita,Amerika Serikat,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 2 malam pada Juni 2024,"7,6","Vila-vila tersebut menawarkan ruang yang luas, sempurna untuk keluarga. Kamar mandinya bersih dan terawat dengan baik. Stafnya perhatian dan ramah, meningkatkan pengalaman secara keseluruhan. Fasilitas yang disediakan menambah nilai pada masa tinggal kami. Area luar bisa menggunakan lebih banyak lampu di malam hari. Kolam renang pribadi di vila sangat disukai anak-anak.",N/A
Hudiono,Indonesia,Vila Tiga Kamar Tidur,Menginap 2 malam pada Februari 2023,"9,6","Daun Lebar Villas terletak sekitar 30 menit di utara jalan utama Ubud. Tempatnya tenang, damai, dan dikelilingi oleh sawah. Kami menginap di Villas 3 Kamar Tidur sejak memiliki kolam renang terbesar, yang sangat disukai anak-anak. Stafnya sangat ramah dan membantu selama kami menginap.

Namun, dapur dan beberapa bagian dari kamar mandi perlu dibersihkan lebih baik. Di luar itu, kami benar-benar menikmati menginap di Daun Lebar.",N/A
Putri,Indonesia,Vila Tiga Kamar Tidur,Menginap 1 malam pada Februari 2024,"9,2",Villa yg agak masuk2 ke jalan kecil tp tempatnya tenang villanya bersih semua spotnya estetik homey bgt. cocok buat yg pengen healing jauh dari keramaian. staff jg baik banget malem2 nitip beliin air mineral & pop mie di warung eh dibeliin. Thankyou daun lebar villa!,Diulas pada 21 Februari 2024
Yohanes,Indonesia,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 3 malam pada September 2024,"8,4","Suka dengan lokasinya dan nilai untuk uangnya. Stafnya ramah, fasilitasnya sangat baik, dan layanan kebersihannya luar biasa. Kebersihan bisa ditingkatkan. Tapi secara keseluruhan, saya sangat senang menginap di sini.",N/A
Thien,Singapura,Vila Tiga Kamar Tidur,Menginap 3 malam pada Juni 2024,"8,0","Kamar-kamarnya luas dan bersih. Stafnya ramah. Ini adalah tempat yang ideal untuk staycation. Lokasinya cukup jauh dari pusat kota Ubud, dan mungkin mengalami kesulitan dalam mendapatkan GoFood untuk mengantarkan ke vila ini.",N/A
jeff,Australia,Deluxe One Bedroom Private Pool Villa,Menginap 1 malam pada Maret 2025,"10,0","Villa Daun Leda adalah tempat yang sempurna bagi kami untuk mengisi ulang energi setelah berkeliling Bali dengan sepeda motor selama 5 hari terakhir. Tempat ini tenang, terletak dengan indah di tengah sawah dan perbukitan yang subur. Villa ini memiliki semua yang kami butuhkan untuk bersantai dan menikmati waktu. Stafnya sopan dan sangat membantu. Terima kasih!",N/A
Juliana,Indonesia,Vila 1 Kamar Tidur dengan Kolam Renang,Menginap 2 malam pada Maret 2025,"9,6","Staffnya ramah dan baik, cocok buat yang suka sama alam dengan konsep open space, villanya terang dan bersih, resto oke, spa sama mba Rosita enak sekali pijitannya, memang agak jauh dari Ubud pusat tapi aku sih bakal tetap balik kesini kalo ke Ubud karena suka sama konsep villanya, untuk makanannya masih harga standar, cuma mungkin agak tawar aja, sisanya oke.",N/A
Emilia,Indonesia,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 2 malam pada Januari 2023,"8,4","Semuanya baik dan sangat tenang... hanya mungkin kekurangannya tidak ada kelengkapan di dapur, setidaknya bisalah disediakan microwave untuk memanaskan makanan atau kompor kecil untun memasak mie instan, sbab cari makan cukup sulit... dan satu lagi jatah air panas sangat dibatasi, sehingga kalo berendam di bath up tau2 air panasnya habis. Hanya cukup buat 1x saja... semoga kedepannya semakin baik ya...",Diulas pada 18 Februari 2023
Chandra,Indonesia,Vila 1 Kamar Tidur dengan Kolam Renang,Menginap 2 malam pada Februari 2025,"9,2","Villa yang nyaman dengan private pool yang bersih, lokasinya cocok untuk honeymooners.",Diulas pada 09 Februari 2025
Milashni,Malaysia,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 2 malam pada Maret 2023,"6,8","Daun lebar terletak di pinggiran Ubud, sekitar 40 menit berkendara dari pusat Ubud. Stafnya ramah dan sangat baik. Kamarnya sangat luas dan bersih, namun kolam renang dan kursi kolam bisa memerlukan perawatan. Restorannya sangat mahal dibandingkan tempat lain, sangat sulit untuk mendapatkan makanan karena vila ini jauh dari pusat. Staf sangat ramah, membantu, dan mengakomodasi. Mereka membantu kami mendapatkan sopir dengan harga yang wajar untuk berkeliling Ubud. Secara keseluruhan, ini adalah tempat yang indah untuk menginap jika Anda tidak berencana untuk melakukan banyak kegiatan selama menginap.",N/A
Anuj,Hong Kong,Vila Tiga Kamar Tidur,Menginap 3 malam pada Oktober 2024,"2,0","BUKAN HOTEL BINTANG 4!!!

LOKASI - Properti ini cukup terpencil. Saya tidak akan merekomendasikannya jika Anda ingin tinggal dekat dengan aktivitas.

DEKOR - Meskipun kamar dan ruang terbuka dihias dengan baik, tidak dipikirkan dengan matang. Semua saklar dan colokan tersembunyi di balik tempat tidur. Kami harus memindahkan tempat tidur untuk dapat mengakses colokan dan menyalakan beberapa lampu.

DASAR - hilang hal-hal dasar sederhana seperti handuk tangan, sabun cuci tangan, dan obat nyamuk. Ketika diminta untuk menyediakan handuk tangan dan sabun cuci tangan, mereka mengatakan tidak menyediakan itu. Kami terkejut mendengarnya. Kami terus mendesak dan akhirnya mereka memberikan sabun cair dalam gelas kecil dan 2 handuk tangan yang penuh noda. Handuk mandi juga tidak bersih. Untuk obat nyamuk, kami diberi semprotan dan diharapkan menggunakannya dengan anak-anak di kamar. Mengingat daerahnya di alam, ada banyak nyamuk, kita akan mengharapkan mereka menyediakan alat pengusir nyamuk di dalam kamar.

MAKANAN – kami hanya makan siang di sana dan tidak menyukai apa pun yang kami pesan.

TAKSI / AKTIVITAS TUR / FASILITAS - Mereka tidak mengizinkan Grab di properti dan Anda hanya dapat memesan taksi lokal melalui hotel yang jelas-jelas lebih mahal daripada taksi Grab. Kami memesan properti karena mereka memiliki fasilitas dan mengharapkan mereka membantu dengan pemesanan aktivitas tur karena mereka jauh dari Ubud, tidak ada operator tur lain di sekitarnya. Namun setibanya, kami diberi tahu bahwa beberapa aktivitas tidak tersedia dan ketika diminta untuk membagikan detail tentang aktivitas tur lainnya, staf mereka tidak memiliki detail apa pun dan malah meminta saya untuk berbicara dengan sopir taksi lokal untuk membagikan detail.

WIFI - TIDAK ADA WIFI di kamar. Hanya di area terbuka. Juga, perlu dicatat bahwa mereka sangat terpencil sehingga cakupan data seluler di daerah ini sangat buruk.

HOSPITALITY - Manajer properti, Bapak Rai, tidak mendengarkan masalah kami dan kami mengalami pengalaman yang sangat buruk, sehingga kami check out setelah malam pertama, meskipun sudah memesan untuk 3 malam.",N/A
Stephen,Indonesia,Deluxe One Bedroom Private Pool Villa,Menginap 1 malam pada Oktober 2023,"9,6","Harga sesuai dengan fasilitas dan juga dengan kebersihan, dan juga semua bersih, tanaman di dalam villa juga dirawat, sungguh menyenangkan tinggal di villa ini",Diulas pada 30 Oktober 2023
Frans,Indonesia,Vila Tiga Kamar Tidur,Menginap 4 malam pada Desember 2022,"4,8","Kalo suka tempat sepi , jauh dari kebisingan ( yes it the villa) bagus lah lokasi nya.  tapi kebersihan villa perlu perhatian lebih. Daerah masuk pedesaan ( saya mau exercise, mau jogging takut banyak anjing liar di dalam pedesaan)
Bantal di kamar utama yg boleh saya bilang ( bantal nya bau APEK ) trus lampu kamar ga bisa di switch off pas di atas bantal.
Saya di parkir kan mobil ( tinggal kunci tapi di vallet di tempat rumah kosong, besok nya banyak semut hitam di luar mobil & sampai masuk masuk dalam interior mobil)
Waktu masuk area villa memang kalo paparan dengan mobil hanya cukup 1 mobil ( harus sabar menggiring)
Dari city ubud perlu waktu _+ 50 menit -÷ 25 Km ( 50 menit during new year )
Over all i rekomendasi villa kalo mau jauh dari keramaian. Fasilitas nya minimal,  lahan parkir ( seperti nya kurang ya . Kena sarang semut kalo di taruh rumah kosong )bantal nya bau keringat / bau bantal basah ga kering bener .",Diulas pada 31 Desember 2022
Herson,Indonesia,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 7 malam pada September 2022,"8,0","Vila memiliki ruangan yang cukup indah di dalamnya. Gaya modern, tetapi beberapa bagian perlu direnovasi. Vila kami memiliki 2 kamar tidur + ruang tamu terbuka. Dapur besar, tetapi tidak dilengkapi untuk memasak, hanya memiliki ketel. Vila memiliki pengantaran makanan ke nomor, menunya tidak beragam tetapi rasanya enak.

Jika Anda suka tinggal di tempat yang tenang, ini adalah pilihan terbaik. Tetapi sayangnya terlalu jauh dari pusat Ubud (sekitar 40 menit menggunakan mobil).

Air kolam renangnya tidak hangat, jadi airnya terasa agak dingin untuk berenang. Kolamnya memiliki bentuk yang baik, tetapi beberapa detail lantai rusak, jadi berhati-hatilah.

Bersiaplah, bahwa di vila terdapat banyak serangga yang berbeda, terutama semut.

Staf sangat baik dan ramah, siap membantu. Mereka membantu kami mengorganisir kejutan ulang tahun, dengan bunga dan kue. Pada akhirnya, kami memiliki kesan dan kenangan yang hebat tentang vila ini.",N/A
arun,India,Deluxe One Bedroom Private Pool Villa,Menginap 3 malam pada Maret 2025,"9,6","Tempatnya sangat bagus di dalam sebuah desa dan sangat tenang, stafnya luar biasa terutama Krishna, Tapa, dan Jenny sangat baik, mereka membantu kami dari proses check-in hingga makanan, sepeda motor, dan secara keseluruhan tetap meny愉kan.",N/A
I.B,Indonesia,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 1 malam pada Juni 2024,"9,6",Villa yg nyaman utk staycation. Staff nya ramah & very helpfull.,Diulas pada 23 Juni 2024
Meylin,Indonesia,Vila 1 Kamar Tidur dengan Kolam Renang,Menginap 1 malam pada Juni 2024,"7,6","Villanya bersih dan cantik. Posisi cocok buat yang mau semedi, karena cukup jauh dari Ubud kota. Tapi sayangnya amenitiesnya kurang ya, rak handuk tidak ada padahal ada private pool. Posisi kolam renang ke kamar mandi harus melewati kamar, jadi kamar basah-basah, keset minim. Pengering rambut sangat terbatas, butuhnya malam, malah mau diantar pagi karena belum tersedia katanya (yah rambutnya keburu kering dong). Jumlah tempat sampah juga minim untuk ukuran villa segitu. Harga makanan cukup mahal, dan tidak punya pilihan lain 😢 padahal jauh dari mana-mana, minimarket sekalipun.",N/A
Chua,Malaysia,Deluxe One Bedroom Private Pool Villa,Menginap 2 malam pada Januari 2025,"8,8","Lokasinya berada jauh di dalam hutan, pastikan memiliki transportasi yang direkomendasikan, kamarnya bagus dan nyaman, bisa berkumpul dengan beberapa teman di sana dan cocok untuk pasangan yang berbulan madu.",N/A
Nadya,Indonesia,Vila 1 Kamar Tidur dengan Kolam Renang,Menginap 2 malam pada Februari 2024,"10,0","Kesini buat honeymoon dan ga salah pilih dan ga nyesel sama sekali, staffnya ruamah polll xtra miles for customers, agak misskom trnyata yg ada peralatan dapurnya yg 2/3 bedroom, tapi tenang kalo udah terlanjur bawa bahan masakan bisa mintol chefnya buat masakin dengan xtra charge tergantung dr masakan apa yang mau dibuat. Buat yang pengen jauh dr keramaian butuh ketenangan emang paling cocok di daun lebar sih, top markotop🫶🏻",Diulas pada 25 Februari 2024
Bagus,Indonesia,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 1 malam pada Oktober 2024,"10,0","Villa sangat bagus, pelayanan staff sangat ramah. Recommended untuk yg ingin menginap di ubud",Diulas pada 13 Oktober 2024
Siti,Singapura,Deluxe One Bedroom Private Pool Villa,Menginap 3 malam pada September 2024,"7,6",Tempatnya terlalu jauh ke dalam dan sangat sulit untuk mendapatkan gojek untuk pergi ke kota. Handuk yang mereka berikan kotor untuk digunakan. Saya berharap di masa depan mereka bisa memberikan yang bersih... stafnya sangat baik.,N/A
Melanie,Indonesia,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 2 malam pada Mei 2023,"8,0","Villa nya bagus cuma butuh extra maintenance saja, keramik kolam pecah, tembok terkelupas. Utk lokasi sangat jauh krn masuk ke gang kecil dan perumahan warga. Utk yg suka healing jauh dr hiruk pikuk cocok menginap disini, sepi dan hening sekali. Breakfast pilihannya tdk byk utk indonesian food hanya nasi atau mie goreng.  Tidak ada microwave di villa. Thanks",Diulas pada 21 Mei 2023
Arvind,India,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 1 malam pada Oktober 2024,"7,2","Tidak ada sarapan prasmanan, mereka menyajikan menu tetap. Makanan rata-rata tetapi kamar bersih dan dilengkapi dengan fasilitas dasar. Taksi grab tersedia untuk transportasi lokal. Tidak ada pasar di dekatnya.",N/A
Sylven,Indonesia,Deluxe One Bedroom Private Pool Villa,Menginap 1 malam pada Agustus 2024,"9,2","Nyaman untuk bersantai, private pool nya bersih",Diulas pada 15 Agustus 2024
Jolyn,Singapura,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 3 malam pada Maret 2024,"6,4","Staf yang ramah dan membantu, dapat lebih memperhatikan kebersihan dan menyediakan kebutuhan yang lebih baik. Sandal kamar tidur tidak disediakan, pengering rambut harus diminta setiap hari. 
Seharusnya ada instalasi lampu di sepanjang koridor dan di dalam pintu masuk vila karena terlalu gelap untuk berjalan di malam hari. 
Tidak nyaman, tidak ada transportasi untuk meninggalkan area vila. Harus memesan transportasi mereka untuk pergi ke tempat lain.",N/A
We,Indonesia,Vila Dua Kamar Tidur dengan Kolam Renang,Menginap 1 malam pada Agustus 2022,"10,0","Villa bagus, bersih, kamar besar dan bersih, ada kolam renang di dalam villa.. 
Pelayanan ok.",Diulas pada 29 Desember 2022
Mohamed,Arab Saudi,Vila 1 Kamar Tidur dengan Kolam Renang,Menginap 4 malam pada Oktober 2023,"8,0","Akan lebih baik jika vila-vila tersebut memiliki bel daripada mengetuk pintu. Juga, banyak serangga di mana-mana karena kurangnya kebersihan. Tempat ini membutuhkan pemeliharaan harian.",N/A
Safira,Indonesia,Vila 1 Kamar Tidur dengan Kolam Renang,Menginap 1 malam pada Februari 2024,"8,0","Tempatnya nyaman, namun agak di pinggir ubud, agak jauh dri kota. Tapi overall smw nyaman . Harga murah kwalitas mantap. Recoomend",Diulas pada 19 April 2024
merliana,Indonesia,Deluxe One Bedroom Private Pool Villa,Menginap 2 malam pada Januari 2024,"6,8","Jika anda menginginkan tempat untuk jauh dr keramaian, tempat ini cocok utk anda.
Villanya cukup bersih dan semua terawat, dikelilingi sawah, suasana sepi.
Jika boleh saran, untuk kamar 201 bisa ditutupi pohon atau apa krn dr depan bs terlihat villa 201.",Diulas pada 28 Januari 2024
