reviewer_name,user_country,room_type,stay_duration_days,rating,review_text,review_date
Merry,Indonesia,Superior Triple,2,10.0,"Hotel location is next to the beach. You can hear sound of waves from the hotel. Perfect for transit if you travel from gilimanuk, its about 1.5 hours from harbour","January 08, 2024"
Michael,United States,Standard Double Room with Fan,2,6.8,"The rooms were too hot, even with a fan. The mattress was also really terrible. 
The only thing I really enjoyed was the food at the restaurant.","January 01, 2024"
Sheira,Thailand,Superior Triple,1,9.2,"Great location. Staff is very kind and also accommodating. There was a very extremely loud club blasting loud music right behind this
place. Not their  fault at all but kept many of us up until about 1 am.","October 28, 2023"
Terence,Australia,Standard,2,8.0,"great spot 
great pool 
room basic but all i need
really enjoyed my stay 1 week
thank you Gubug","October 12, 2023"
Leon,United Kingdom,Standard Double Room with Fan,5,10.0,"We had an amazing stay in Gubug, beautiful accomodation, which is clean and comfy. Breakfast is great everyday. Location is perfect over looking the beach and surf! Staff are wonderful","June 02, 2023"
Jen,South Africa,Standard Double Room with Fan,2,10.0,"Very good location, nice rooms and friendly staff. Will go again, Suksma 💚","March 15, 2023"
Susan,Australia,Superior Triple,1,10.0,Always great,"March 14, 2023"
Susan,Australia,Superior Triple,1,10.0,Was fantastic,"March 14, 2023"
Paula,United States,Standard Double Room with Fan,2,10.0,Great if you want to get out of the hustle and bustle of Denpasar.,"March 01, 2023"
Shmoo,United States,Standard Double Room with Fan,1,10.0,"The view, the view from the pool, the view from the pool while drinking a beer.... All of it. Across the street from a great restaurant with reasonable and 10 min walk down the road from great night time street food.","February 10, 2023"
Jon,Australia,Standard Double Room with Fan,22,10.0,Excellent location. Great place to stay.,"November 14, 2022"
Amethyst,Australia,Superior Triple,1,9.2,"They have clearly been reading reviews and taken on feedback. Rooms come with a fridge now, and the pool they have built has a stunning view of the surf break. 
Rooms are quiet (each room
building is individual), well sealed so mosquitos weren’t an issue, clean and fresh linen daily. Photos don’t do justice. 
The garden is tended to daily and is mature and lovely. All rooms face the ocean (we stayed in 11 and could see the surf from bed.) And it’s all only 1 minute walk to the beach. 
Definitely the best value for money for well-equipped room, and best pool in Balian. 
Unfortunately the restaurant hadn’t  reopened since covid when we visited, but hopefully it does in the future as I heard from return travellers it was the best in town.","September 28, 2022"
Wayne,Australia,Standard Double Room with Fan,7,7.2,Great location but rooms need refurbishment,"September 14, 2022"
Mick,Australia,Standard,4,10.0,Best place to stay in Balian!,"September 04, 2022"
Lynne,Australia,Superior Triple,2,9.2,"Great spot to stay if you are a surfer, amazing pool and beautiful gardens, if you book sea view room get the end or one next door hopefully they will cut the palm trees and other tree's back soon otherwise you won't get a view, great restaurant next door as wasn't much open as alot of places still closed for Covid, highly recommend.","January 17, 2022"
sharon,"Hong Kong SAR, China",Standard,4,9.2,Will come back for sure.,"November 26, 2018"
simone,Australia,Superior Triple,2,10.0,"Excellent Veiw from all rooms , a beautiful place to stay and enjoy the little surf village 💗","August 19, 2018"
stuart,Indonesia,Standard,3,8.8,a great  place  to stay  for  surfing  at balian  overlooking  the break,"June 27, 2018"
Andrea,Australia,Superior Triple,3,9.6,"Stayed in room 10 with ocean views and it was better than expected regarding other peoples photos. Room was spacious and just needed a fridge. Staff left you alone, which I don't  have a problem with. Great pool with ocean views.. ample breakfast... good location short distance to some good warungs for food, juice and ofc bintangs..","October 29, 2017"
sue,Australia,Superior Triple,3,9.2,"Lovely place to stay, with the best view. We stayed upstairs for the view for $5 more, but when we got there , we could've stayed below as the view was great from down stairs also. Rooms aren't very big but big enough!! . There is a double and a single bed. We would wake up to a beautiful view from the bed each morning. There is no kettle or fridge in the room.
Breakfast was basic but very tasty. The garden is beautiful  which gives the hotel a lovely feel. There are lots of restaurants nearby and a lovely coffee shop just on road behind hotel, that make the best coffee!! There isn't a great deal todo in Balian but chill,. It was wonderful to get out of the busy part of Bali. This place is a gem! and so quiet, but Balian is getting busy so I want to enjoy it before it changes.
I definitely will back again next year. My only issue is the beds are very hard and the pool is too strong with chemicals which made swimming uncomfortable and burnt my eyes, but I did mention it so ...","September 16, 2016"
Anthony,Australia,Superior Triple,5,9.2,"Comfortable room, staff were helpful and friendly, great location, I'll be back","August 27, 2016"
Stephen,United Kingdom,Superior Triple,1,9.2,"Great view, staff. Breakfast could be better and bring your own pillow but the view is to die for and the pool is lovely. I'd stay again.","July 16, 2016"
Luke,Australia,Superior Triple,4,9.6,"First thing you notice is that the photos online don't do it justice. Their garden is beautiful and fully grown! The staff are friendly and helpful and caring. The room itself has a very comfortable queen bed and 2 great puffy pillows!! :) Air con was new unit and worked well. The bathroom was the only part holding it back from better rating. Toilet was right next to shower which was a simple shower head on a hose attached to the wall. Nonetheless the water was hot and quickly too even though you preferred the cool water :p Only provided soap so you might want to bring shampoo.
Wifi was decent reception but drop outs happened a lot so no online calls but everything was good :)
Definitely going back there. For the price that included breakfast and the location was perfect. Plus the pool over looking the beach was brilliant to chill by after big surf sessions.","June 24, 2016"
Michaela,Australia,N/A,4,7.7,"Location was excellent, good relaxing spot by the pool over looking the ocean, aircon wasn't as cold as we would have liked it to be, bed was very loud, also no hot water but didn't bother us as it was always hot!! Would stay again though, great price!","January 28, 2015"
Heather,United States,N/A,2,8.7,"The staff at Gubug are very caring and helpful. The location is great - maybe 30 meters from the bottom of the road to the beach. There are about 3 single rooms and 6 two-storey rooms arranged in an L-shape.  Rooms are pretty new. My only issue is that the room I had (room 1) was really dark. The floor covering and walls are all dark tile and brick throughout. The lighting is poor. Without opening the front window curtains, there is very little light in this room. Made if difficult to get ready for the wedding I was attending. Other than that it was comfortable, safe, and a nice place to stay. They are building a pool at the moment that will be an infinity pool overlooking the ocean. That will be a great addition to this hotel.","October 29, 2014"
Angel,Spain,Superior Triple,1,9.6,"Amazing place , If you are looking for a quiet place to surf and relax away from the fuss of Bali, come here, I recommend staying in the triple room with sea views, it has air conditioning and a fridge . Plus the seaviews with the pool, the sunset... You can rent a motorcycle in the same place, on the main road you have some small markets and ATMs…I’ll back for sure","January 05, 2024"
Almeras,France,Standard Double Room with Fan,4,9.2,Belle adresse...terimah kasih 🙏💙,"May 04, 2025"
david,France,Standard Double Room with Fan,2,9.2,"Super , salle de bain à rafraîchir","September 23, 2024"
Christophe,Indonesia,Standard Double Room with Fan,1,9.2,Hotel un peu ancien mais bien rénové chambre moderne. Parc entretenu et piscine bien propre. Pour y accéder il faut d abord entrer dans le temple et payer l entrée. Idéal également pour y rester plusieurs jours car on ne paie alors qu un seul billet d entrée celui de l arrivée du premier jour. Site très joli et agréable .,"May 19, 2024"
Christophe,Indonesia,Superior Triple,1,10.0,Très joli hôtel vue sur la mer incroyable piscine à débordement superbe.,"May 17, 2024"
Salomé,France,Standard Double Room with Fan,4,9.2,"I had a really pleasant stay in this hotel. The room is spacious, clean, with a big balcony ! 
It's perfectly situated, 2 min walk from the beach  and the view from the hotel's restaurant is very beautiful, and also the pool is just amazing !
Staff is friendly and welcoming. 
I would definitively advice you to come here !","January 10, 2024"
Sylvie,France,N/A,3,4.7,"La photo sur internet ne mentait pas, la vue sur l'océan est époustouflante. Mais ma chambre était sale, le robinet de la douche bloqué par le calcaire notamment. J'ai pris ma douche avec des tongues... Je suppose que les occupants précédents de la chambre étaient un troupeau d'éléphants en entrainement de saut au trampoline vu l'état de la literie.
Certes, j'avais choisi un établissement simple, mais simplicité ne rime pas forcément avec saleté","May 26, 2015"
Frederik,Germany,Standard Double Room with Fan,2,10.0,Bestes Hostel in dem ich bisher war.,"August 18, 2025"
tadashi,Japan,Standard Double Room with Fan,1,5.2,"サーフポイントが目の前なのでサーフィンが
しやすい環境でした。
今回はファンルームで少し暑いので
次回はエアコンルームが良いと思います。
水圧があまりよくなかったでしたので
事前にスタッフに聞いた方が良いと思います。
プールもついていてサーフィンして
ゆっくり出来る環境でした。","July 16, 2023"
jin,Japan,Standard Double Room with Fan,1,8.0,凄く快適でした。,"October 31, 2022"
Gandik,Indonesia,Standard,1,10.0,"Jauh dari keramaian, teduh, dan nyaman mendengar deburan ombak","June 24, 2025"
Ni,Indonesia,Standard,1,10.0,Pemandangan sangat bagus,"May 27, 2025"
endri,Indonesia,Standard Double Room with Fan,1,10.0,"Staff terbaik 
Senang menginap susana hening deket sama pantai 
Kebersihannya ok
Cuma gak ada hot water aja 
Harga terbaik next kesana lagi","April 21, 2025"
Mery,Indonesia,Standard Double Room with Fan,1,10.0,Kamar hotel lumayan bersih ada AC ada non AC viewnya bagus dekat laut ada kolam renang juga breakfast nya enak,"April 14, 2025"
sarifah,Indonesia,Standard Double Room with Fan,3,8.8,everything is good except the internet...the connection is on and off,"April 04, 2025"
Rezista,Indonesia,Standard Double Room with Fan,1,10.0,"Datang disambut penjaga, bisa bayar ditempat, diantar ke kamar. Dekat dengan pantai, sesuai dengan budget","April 04, 2025"
Nofi,Indonesia,Standard,1,10.0,"Sangat cocok untuk istirahat, suasana tenang. Masih tedengar suara ombak.","December 30, 2024"
Mery,Indonesia,Standard Double Room with Fan,1,10.0,Top markotop nginep disini,"April 12, 2024"
Aulia,Indonesia,Standard Double Room with Fan,1,4.0,"Not recomended, staf kurang ramah. Tdk ada wi fi, kamar bau dan tdk ada resto atau warung di sekitar.","January 05, 2024"
Kalimah,Indonesia,Standard Double Room with Fan,1,8.0,"Hotel yg sangat nyaman dengan pemqndangan desa khas bali dan pemandangan laut yg indah. Staf hotel yg ramah serta kamar hotel yg bersih. Parkir yg luas dan taman yg asri.  Tersedia kamar hotel dengqn harga terjangkau dengan fasilitas yg baik,tanpa AC nanmun tersedia kipas angin dan water hitter.","January 04, 2024"
RIDWAN,Indonesia,Superior Triple,2,8.4,"Kamarnya luas..kamar mandi bersih tp fungsk showernya ga maksimal,dan harusnya di kamar ada ketel utk pemanas air","December 28, 2023"
SUSYRONY,Indonesia,Superior Triple,1,10.0,"Penginapan ini keren banget dapet view laut , dekat dengan pantai dengan pasir hitam yang halus, pesan kamar dengan triple bed, kamar bersih, untuk menu sarapan ok lah , yang pasti staff nya ramah2 walau kita turis lokal 🙏","May 10, 2023"
Annisa,Indonesia,Standard Double Room with Fan,1,3.2,"Lantai kotor penuh debu, lampu teras mati, kipas angin tidak nyala remote tv tidak ada baterai, lantai kamar mandi kotor debu,air asin, kebersihan kurang, bos nya tidak mengerti hospitality","September 12, 2021"
sandra,Indonesia,Superior Triple,1,7.6,"Saya menginap semalam disini. Kolam renang bagus meskipun tidak besar, view hadap pantai, kebanyakan turis luar mungkin hanya saya yg turis lokal disana.. suasana hening, adem, banyak pohon.. hanya saja harga terlalu mahal, apalagi cukup jauh dari bandara, pantaimya juga berpasir hitam dan agak kotor sedikit...overall pelayanan bagus,bersih,ada wifi..","October 01, 2016"
Genya,Indonesia,Standard Double Room with Fan,1,10.0,"So nice place for staying ) 

Location is perfect. Local cafes are close, wild beaches are everywhere, ocean is incredible.

I'll be back very soon )","September 12, 2024"
Tobin,Australia,Standard Double Room with Fan,6,9.6,"Staff and Location were awesome. 
Price a little on the expensive side,  but we booked late so that might have influenced the price!","October 22, 2023"
Mya,Australia,Standard Double Room with Fan,2,9.2,"I stayed in a room with a fan, with use of facilities -nice pool. Breakfast not included. Lots of eating places around. Surfers beach with black sand and round stones very near by Current quite strong. Cautious for swimmers..overall Gubug was good for the price and staff very friendly","November 09, 2023"
Risa,Australia,Superior Triple,2,8.0,We really enjoyed our time at Gubug Balian. The kids loved the pool and enjoyed playing with the othe hotel guest kids. Spectacular views of the Balian surf break. Staff were nice and very helpful.,"July 10, 2023"
Justine,Indonesia,Superior Triple,2,9.2,Stunning views from our room. Great location in Balian. Horizon pool overlooking the waves. Rooms are basic but for the location and pool it was totally ok. Would stay again if we go back to Balian.,"June 14, 2023"
